,sampling,evaluations,regression,shapiq_post_processing,total,game_id,id_explain,approximator,budget,n_players,id_config_approximator
0,0.0034422874450683594,0.17308974266052246,0.0009121894836425781,2.574920654296875e-05,0.17746996879577637,california_housing_random_forest,1,PolySHAP-2ADD,121,8,37
0,0.003663301467895508,0.24876785278320312,0.0010216236114501953,3.838539123535156e-05,0.2534911632537842,california_housing_random_forest,1,PolySHAP-2ADD,176,8,37
0,0.0007822513580322266,0.3365001678466797,0.0012764930725097656,3.504753112792969e-05,0.3385939598083496,california_housing_random_forest,1,PolySHAP-2ADD,256,8,37
0,0.0006492137908935547,0.03129839897155762,0.0017421245574951172,3.170967102050781e-05,0.0337214469909668,california_housing_random_forest,1,PolySHAP-3ADD,9,8,37
0,0.0008730888366699219,0.039292335510253906,0.0019135475158691406,3.4809112548828125e-05,0.0421137809753418,california_housing_random_forest,1,PolySHAP-3ADD,13,8,37
0,0.0010726451873779297,0.04172205924987793,0.0012290477752685547,2.9325485229492188e-05,0.044053077697753906,california_housing_random_forest,1,PolySHAP-3ADD,18,8,37
0,0.0010404586791992188,0.04479479789733887,0.0013117790222167969,2.5987625122070312e-05,0.04717302322387695,california_housing_random_forest,1,PolySHAP-3ADD,27,8,37
0,0.00139617919921875,0.061109304428100586,0.0015120506286621094,2.7894973754882812e-05,0.06404542922973633,california_housing_random_forest,1,PolySHAP-3ADD,39,8,37
0,0.0021560192108154297,0.09049677848815918,0.0018305778503417969,2.8371810913085938e-05,0.09451174736022949,california_housing_random_forest,1,PolySHAP-3ADD,57,8,37
0,0.002487659454345703,0.15172839164733887,0.002207040786743164,2.86102294921875e-05,0.15645170211791992,california_housing_random_forest,1,PolySHAP-3ADD,83,8,37
0,0.003643512725830078,0.18987536430358887,0.0035834312438964844,4.172325134277344e-05,0.1971440315246582,california_housing_random_forest,1,PolySHAP-3ADD,121,8,37
0,0.0061147212982177734,0.33533287048339844,0.003850698471069336,3.7670135498046875e-05,0.3453359603881836,california_housing_random_forest,1,PolySHAP-3ADD,176,8,37
0,0.0011892318725585938,0.4567086696624756,0.004536151885986328,3.7670135498046875e-05,0.46247172355651855,california_housing_random_forest,1,PolySHAP-3ADD,256,8,37
0,0.0007119178771972656,0.03241777420043945,0.003072023391723633,3.3855438232421875e-05,0.03623557090759277,california_housing_random_forest,1,PolySHAP-4ADD,9,8,37
0,0.0009477138519287109,0.04059338569641113,0.003336191177368164,3.0517578125e-05,0.04490780830383301,california_housing_random_forest,1,PolySHAP-4ADD,13,8,37
